Episode,Total Reward,Episode Loss,Epsilon,Avg Q Value
1,4.0,0.0021580767160194747,0.7564343028582378,0.02965418
2,0.0,0.0020706083399572354,0.660203182914977,0.043468557
3,0.0,0.001487883265196745,0.5739128719918999,0.03158172
4,1.0,0.0011285655706333706,0.48511866824423777,0.031689722
5,2.0,0.0009242431615182961,0.38927399944206015,0.033780985
6,0.0,0.0008136853838297434,0.34077312049111813,0.032175265
7,0.0,0.0007386487250312649,0.2947549613501431,0.031657025
8,0.0,0.0006702296682200286,0.25906521584796366,0.031002615
9,0.0,0.0006032896192373063,0.2222945440771219,0.03060733
10,0.0,0.000548133279196918,0.19616197792269574,0.030120341
